id_kpi,nombre,categoria,servicio,valor,meta,unidad,periodo,variacion_pct,estado,orden,observacion
1,Pasajeros,Afluencia,Biotren,895289,838773.104433539,pax,2025-01,6.73792414989619,ok,1,
2,Pasajeros,Afluencia,Biotren,735008,673245.343106632,pax,2025-02,9.17387064400167,ok,2,
3,Pasajeros,Afluencia,Biotren,1098261,952422.97453836,pax,2025-03,15.3123170440452,ok,3,
4,Pasajeros,Afluencia,Biotren,1007173,1002494.73149786,pax,2025-04,0.466662652196942,ok,4,
5,Pasajeros,Afluencia,Biotren,968459,915430.130100257,pax,2025-05,5.79278179252578,ok,5,
6,Pasajeros,Afluencia,Biotren,919687,588423.099077032,pax,2025-06,56.2968893373783,ok,6,
7,Pasajeros,Afluencia,Biotren,820579,842082.604773133,pax,2025-07,-2.5536217766814,alerta,7,
8,Pasajeros,Afluencia,Biotren,978368,800839.350281717,pax,2025-08,22.1678230041809,ok,8,
9,Pasajeros,Afluencia,Biotren,928503,850216.557169246,pax,2025-09,9.20782383859996,ok,9,
10,Pasajeros,Afluencia,Biotren,1010594,907350.81615774,pax,2025-10,11.3785298920491,ok,10,
11,Pasajeros,Afluencia,Biotren,937259,943051.404780685,pax,2025-11,-0.614219410662191,ok,11,
12,Pasajeros,Afluencia,Biotren,902604,983140.501275772,pax,2025-12,-8.19175907932425,alerta,12,
13,Pasajeros,Afluencia,Tren Araucanía,43340,58878.53,pax,2025-01,-26.3908253144228,critico,13,
14,Pasajeros,Afluencia,Tren Araucanía,42891,59391.92,pax,2025-02,-27.7831058500887,critico,14,
15,Pasajeros,Afluencia,Tren Araucanía,63167,81856.82,pax,2025-03,-22.8323308919159,critico,15,
16,Pasajeros,Afluencia,Tren Araucanía,62698,79468.63,pax,2025-04,-21.1034593147007,critico,16,
17,Pasajeros,Afluencia,Tren Araucanía,59389,72094.78,pax,2025-05,-17.6237170014251,alerta,17,
18,Pasajeros,Afluencia,Tren Araucanía,46222,54905.48,pax,2025-06,-15.8153248091083,alerta,18,
19,Pasajeros,Afluencia,Tren Araucanía,55987,71626.9862571429,pax,2025-07,-21.8353264243101,critico,19,
20,Pasajeros,Afluencia,Tren Araucanía,51601,69217.1426285714,pax,2025-08,-25.4505487507655,critico,20,
21,Pasajeros,Afluencia,Tren Araucanía,44714,60729.2846,pax,2025-09,-26.3716009590536,critico,21,
22,Pasajeros,Afluencia,Tren Araucanía,52922,71414.2026857143,pax,2025-10,-25.8942927180695,critico,22,
23,Pasajeros,Afluencia,Tren Araucanía,50758,66174.3204285714,pax,2025-11,-23.2965300266465,critico,23,
24,Pasajeros,Afluencia,Tren Araucanía,43849,69017.3612,pax,2025-12,-36.466710349975,critico,24,
25,Pasajeros,Afluencia,Laja Talcahuano,68173,74657.88,pax,2025-01,-8.68612931414608,alerta,25,
26,Pasajeros,Afluencia,Laja Talcahuano,69252,75027.12,pax,2025-02,-7.69737662861109,alerta,26,
27,Pasajeros,Afluencia,Laja Talcahuano,42734,56958.3,pax,2025-03,-24.9731821350005,critico,27,
28,Pasajeros,Afluencia,Laja Talcahuano,38563,47639.55,pax,2025-04,-19.0525519237692,alerta,28,
29,Pasajeros,Afluencia,Laja Talcahuano,33502,45962.7,pax,2025-05,-27.1104613088439,critico,29,
30,Pasajeros,Afluencia,Laja Talcahuano,34137,38232.1065,pax,2025-06,-10.7111715123518,alerta,30,
31,Pasajeros,Afluencia,Laja Talcahuano,34081,47268.039,pax,2025-07,-27.8984262495002,critico,31,
32,Pasajeros,Afluencia,Laja Talcahuano,37156,47096.0805,pax,2025-08,-21.1059612487286,critico,32,
33,Pasajeros,Afluencia,Laja Talcahuano,36755,44140.341,pax,2025-09,-16.7314996501726,alerta,33,
34,Pasajeros,Afluencia,Laja Talcahuano,41850,53337.417,pax,2025-10,-21.5372577940923,critico,34,
35,Pasajeros,Afluencia,Laja Talcahuano,43948,51785.4645,pax,2025-11,-15.1344872073128,alerta,35,
36,Pasajeros,Afluencia,Laja Talcahuano,44504,59447.892,pax,2025-12,-25.1377996716856,critico,36,
37,Pasajeros,Afluencia,Llanquihue Puerto Montt,7728,100074.25,pax,2025-04,-92.2777337826664,critico,37,
38,Pasajeros,Afluencia,Llanquihue Puerto Montt,23776,100074.25,pax,2025-05,-76.241640581868,critico,38,
39,Pasajeros,Afluencia,Llanquihue Puerto Montt,23321,100074.25,pax,2025-06,-76.6963029950262,critico,39,
40,Pasajeros,Afluencia,Llanquihue Puerto Montt,29225,100074.25,pax,2025-07,-70.7966834625291,critico,40,
41,Pasajeros,Afluencia,Llanquihue Puerto Montt,20124,100074.25,pax,2025-08,-79.8909309837446,critico,41,
42,Pasajeros,Afluencia,Llanquihue Puerto Montt,24178,100074.25,pax,2025-09,-75.8399388454073,critico,42,
43,Pasajeros,Afluencia,Llanquihue Puerto Montt,31872,100074.25,pax,2025-10,-68.1516474018042,critico,43,
44,Pasajeros,Afluencia,Llanquihue Puerto Montt,31210,100074.25,pax,2025-11,-68.8131562314981,critico,44,
45,Pasajeros,Afluencia,Llanquihue Puerto Montt,32539,100074.25,pax,2025-12,-67.4851422818557,critico,45,
46,Pasajeros,Afluencia,Biotren,781451,961169.263122306,pax,2026-01,-18.6978787210175,alerta,46,
47,Pasajeros,Afluencia,Biotren,746327,806743.579710007,pax,2026-02,-7.48894459522378,alerta,47,
48,Pasajeros,Afluencia,Tren Araucanía,39424,62968.2093766987,pax,2026-01,-37.3906287152755,critico,48,
49,Pasajeros,Afluencia,Tren Araucanía,42486,64884.3856789122,pax,2026-02,-34.5204557992629,critico,49,
50,Pasajeros,Afluencia,Laja Talcahuano,47831,64330.5466607723,pax,2026-01,-25.6480746973559,critico,50,
51,Pasajeros,Afluencia,Laja Talcahuano,55341,65364.7725147057,pax,2026-02,-15.3351295033584,alerta,51,
52,Pasajeros,Afluencia,Llanquihue Puerto Montt,77145,51655.748375,pax,2026-01,49.3444629626857,ok,52,
53,Pasajeros,Afluencia,Llanquihue Puerto Montt,76278,49195.9508333333,pax,2026-02,55.0493459480346,ok,53,
54,Tasa de Ocupación,Ocupación,Biotren,0.497083147102996,0.525152206632569,%,2025-01,-5.3449379389567,alerta,54,
55,Tasa de Ocupación,Ocupación,Biotren,0.493255889646101,0.43914846882832,%,2025-02,12.3209858757208,ok,55,
56,Tasa de Ocupación,Ocupación,Biotren,0.671589877179626,0.64202807931347,%,2025-03,4.60444002663666,ok,56,
57,Tasa de Ocupación,Ocupación,Biotren,0.658263645840482,0.697397342222401,%,2025-04,-5.61139167195732,alerta,57,
58,Tasa de Ocupación,Ocupación,Biotren,0.617338479632067,0.663062074083381,%,2025-05,-6.89582412242815,alerta,58,
59,Tasa de Ocupación,Ocupación,Biotren,0.599662249172739,0.46446999224627,%,2025-06,29.1067795946628,ok,59,
60,Tasa de Ocupación,Ocupación,Biotren,0.496278421375717,0.585804744951674,%,2025-07,-15.282621786094,alerta,60,
